0-binary_to_uint.c,"/**
 * binary_to_uint - converts a binary to an unsigned int
 * @b: the binary number as a string
 *
 * Return: the converted value
 */

/**
 * check_valid_string - checks if a string has only 0's and 1's
 * @b: string to be checked
 *
 * Return: 1 if string is valid, 0 otherwise
 */
"
0-create_array.c,"/**
* create_array - creates an array of chars, and
* initializes it with a specific char.
*@size: Size of the array
*@c: Character to insert
*Return: NULL if size is zero or if it fails,
*pointer to array if everything is normal.
*/

"
0-hash_table_create.c,"/**
 * hash_table_create - Creates a hash table.
 * @size: The size of the array.
 *
 * Return: If an error occurs - NULL.
 *         Otherwise - a pointer to the new hash table.
 */
"
0-holberton.c,"/**
*main - function prints text as output
*
*Return:return 0
*/
"
0-isupper.c,"/**
*_isupper - function that verifies if a  character is uppercase or not
*@c: tested character
*Return: returns 1 if it is uppercase , 0 if not
*/

"
0-linear.c,"/**
 * linear_search - searches for a value in a sorted array of integers
 * @array: array of integers
 * @size: size of array
 * @value: value to search for
 * Return: index of value or -1 if not found
 */


"
0-main.c,"/**
* main - tests function that prints if integer is positive or negative
* Return: 0
*/

"
0-malloc_checked.c,"/**
 * malloc_checked - allocates memory using malloc, exit(98) if it fails
 * @b: size of the memory block to be allocated
 *
 * Return: pointer to the address of the memory block
 */
"
0-memset.c,"/**
*_memset - The _memset() function fills
* the first n bytes of the memory area
* pointed to by s with the constant byte b
*@s:target
*@b: constant byte
*@n:number of byte
*Return: returns new value of target
*/

"
0-positive_or_negative.c,"/**
*main - entry point of programs
*
*Return: return 0
*/
"
0-print_dlistint.c,"/**
 * print_dlistint - prints all the elements of a dlistint_t list.
 * @h: pointer to the head of the list
 *
 * Return: number of nodes
 */

"
0-print_list.c,"/**
* print_list - prints all the elements of a list
*
* @h:pointer to the list
*
*Return: the number of nodes
*/

"
0-print_listint.c,"/**
 * print_listint - prints all the elements of a linked list
 * @h: head of the list
 *
 * Return: the number of nodes
 */
"
0-print_name.c,"/**
*print_name - prints a name
*@name:name to print
*@f: function which print name
*/

"
0-puts_recursion.c,"/**
* _puts_recursion - prints a string followed by a new line
*@s:character to be printed
*Return:returns void
*/
"
0-read_textfile.c,"/**
 * read_textfile - Reads a text file and prints it to POSIX stdout.
 * @filename: A pointer to the name of the file.
 * @letters: The number of letters the
 *           function should read and print.
 *
 * Return: If the function fails or filename is NULL - 0.
 *         O/w - the actual number of bytes the function can read and print.
 */

"
0-reset_to_98.c,"/**
*reset_to_98 - reset value of an integer to 98
*@n: parameter targeted
*Return : nothing
*/

"
0-strcat.c,"/**
 *_strcat - concatenates  the string pointed to by @src to
 * the end of the string pointed to by @dest
 *@dest: String that will be appended
 *@src: String to be concatenated upon
 *
 * Return: returns poiner to @dest
 */

"
0-sum_them_all.c,"/**
*sum_them_all - sums all its parameters
*@n: first parameter
*
*Return: 0 if n is null
* or sum of parameters in other case
*/

"
0-whatsmyname.c,"/**
* main - prints program name
*@argc: number of arguments
*@argv: array of arguments
*Return: 0
*/
"
1-alphabet.c,"/**
*print_alphabet - function that print alphabet
*it prints in lowercase
*Return: no return
*/
"
1-args.c,"/**
* main - prints the number of arguments
*@argc: number of arguments
*@argv:array of arguments
*Return: the number of arguments
*/

"
1-array_iterator.c,"/**
*array_iterator - executes a function on each element of an array
*@array: array to be targeted
*@size: size of array
*@action: function to be executed
*
*/

"
1-binary.c,"/**
 * binary_search - searches for a value in a sorted array of integers
 * using the binary search algorithm
 * @array: array of integers
 * @size: size of array
 * @value: value to search for
 * Return: index of value or -1 if not found
 */

"
1-binary_recursive.c,
1-create_file.c,"/**
 * create_file - Creates a file.
 * @filename: A pointer to the name of the file to create.
 * @text_content: A pointer to a string to write to the file.
 *
 * Return: If the function fails - -1.
 * Otherwise - 1.
 */

"
1-djb2.c,"/**
 * hash_djb2 - implementation of the djb2 algorithm
 * @str: string used to generate hash value
 *
 * Return: hash value
 */

/* hash * 33 + c */
"
1-dlistint_len.c,"/**
 * dlistint_len - returns the number of elements in a linked dlistint_t list.
 * @h: pointer to the head of the list
 *
 * Return: number of nodes
 */

"
1-init_dog.c,"/**
* init_dog - inits a variable of
*type dog
*@d: dog identification
*@name: name of dog
*@age: age of dog
*@owner: owner's name
*/

"
1-isdigit.c,"/**
*_isdigit - function that verifies if a  character is a digit or not
*@c: tested character
*Return: returns 1 if it is uppercase , 0 if not
*/

"
1-last_digit.c,"/**
*main - Prints the last digit of random number
*
*Return: Return 0
*/
"
1-listint_len.c,"/**
 *listint_len - Returns the number of elements
 *in a linked listint_t list
 *@h: A pointer to the head of the list
 *
 *
 *Return: the number of elements in the listint_t list
 */

"
1-list_len.c,"/**
 * list_len - finds the number of elements in a linked list
 *@h: pointer to the list
 *
 *Return: the number of elements
*/

"
1-main.c,"/**
* main - causes an infinite loop
* Return: 0
*/


/*
*while (i < 10)
*{
*putchar(i);
*}
*/
"
1-memcpy.c,"/**
*_memcpy - The _memcpy() function copies n bytes
* from memory area src to memory area dest
*@dest:area where bytes are copied to
*@src:area where bytes are copied from
*@n:number of bytes to copy
*Return: returns a pointer to n
*/
"
1-print_binary.c,"/**
*print_binary - prints the binary representation of a number
*@n: number to be printed
*
*Return: void
*/

"
1-print_numbers.c,"/**
*print_numbers - prints numbers followed by
*new line
*@separator: string to be printed between numbers
*@n: number of integer to be passed
*
*Return: nothing
*/

"
1-print_rev_recursion.c,"/**
* _print_rev_recursion - function that prints a string in reverse.
*@s: parameter string
*
*/
"
1-strdup.c,"/**
* _strdup - returns a pointer to a newly allocated
*space in memory, which contains a copy of the
*string given as a parameter.
*@str:String to be copied
*
*Return: NULL in case of error, pointer to allocated
*space
*/

"
1-string_nconcat.c,"/**
*string_nconcat - Concatenates two strings using at
*most an inputted number of bytes.
*@s1: The first string.
*@s2: The second string.
*@n: The maximum number of bytes of s2 to concatenate to s1.
*
*Return: If the function fails - NULL.
*Otherwise - a pointer to the concatenated space in memory.
*/

"
1-strncat.c,"/**
 *_strncat - concatenate two strings but add inputted number of bytes
 *@dest: string to be appended upon
 *@src: string to be completed at end of dest
 *@n:integer parameter to compare index to
 *Return: returns new concatenated string
 */

"
1-swap.c,"/**
*swap_int - swap two integers
*@a: first integer
*@b: second integer
*Return: nothing
*/

"
10-add.c,"/**
*add - sums up two numbers
*@n:first integer
*@m:second integer
*Return: returns 0
*/
"
10-delete_nodeint.c,"/**
 * delete_nodeint_at_index - deletes a node at an index
 * @head: pointer to the head of the list
 * @index: index of the node to be added
 *
 * Return: the address of the node
 */

/**
 * listint_len - counts the number of nodes in a linked list
 * @h: head of the list
 *
 * Return: the number of elements
 */
"
10-print_triangle.c,"/**
*print_triangle - prints a triangle
*@size:size parameter of triangle
*Return:returns nothing
*/
"
100-argstostr.c,"/**
* argstostr - a function that concatenates all the arguments of your program
*@ac: count of args passed to the function
*@av:array of arguments
*
*Return: pointer to the new string
*/


/**
*len - returns length of str
*@str: string counted
*Return: returns the length
*/
"
100-atoi.c,"/**
* _atoi - changes a string to an int
* @s: the string to be changed
*
* Return: the converted int
*/
"
100-change.c,"/**
*main - prints the minimum number of coins to make change
* for an amount of money
*@argc: number of arguments
*@argv: array of arguments
*Return: returns 1 if there is an error; else returns 0
*/

"
